post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-03-24 13:00:14,페라리 내년에,퇴물탕 메르 보내고 사인지 영입 안되냐??,Before Lap,,페라리 내년에 퇴물탕 메르 보내고 사인지 영입 안되냐??,페라리 내년에 퇴물탕 메르 보내고 사인지 영입 안되냐??,0.9292309284210205
2024-03-24 13:00:19,해밀턴 소프트라,,Before Lap,,해밀턴 소프트라 ,해밀턴 소프트라,0.10459382832050323
2024-03-24 13:00:30,소프트 쓰는 놈 3명이나 있네,저걸쓴다고?,1,1.0,소프트 쓰는 놈 3명이나 있네 저걸쓴다고?,소프트 쓰는 놈 3명이나 있네 저걸쓴다고?,0.9033629894256592
2024-03-24 13:00:31,F1에서 아주 무섭게 느껴지는 것,"막스의 시대는 언젠간 끝나고
새로운 강점기를 열게 될 챔피언이 등장할 것이며
그 때 우리는 막스를 그리워하게 될 것 이라는거,,
DnD",1,1.0,"F1에서 아주 무섭게 느껴지는 것 막스의 시대는 언젠간 끝나고
새로운 강점기를 열게 될 챔피언이 등장할 것이며
그 때 우리는 막스를 그리워하게 될 것 이라는거,,
DnD","F1에서 아주 무섭게 느껴지는 것 막스의 시대는 언젠간 끝나고 새로운 강점기를 열게 될 챔피언이 등장할 것이며 그 때 우리는 막스를 그리워하게 될 것 이라는거,, DnD",0.22564801573753357
2024-03-24 13:00:33,물탕해 소프트 ㅋㅋ,,1,1.0,물탕해 소프트 ㅋㅋ ,물탕해 소프트 ㅋㅋ,0.7806951403617859
2024-03-24 13:00:34,물탕이 소프트 뭐노,ㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0,물탕이 소프트 뭐노 ㅋㅋㅋㅋㅋㅋㅋㅋ,물탕이 소프트 뭐노 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.7838453650474548
2024-03-24 13:00:41,알론소 헐크 하드,해밀턴 리카도 저우 소프트,1,1.0,알론소 헐크 하드 해밀턴 리카도 저우 소프트,알론소 헐크 하드 해밀턴 리카도 저우 소프트,0.1945365071296692
2024-03-24 13:00:58,물탕대런저우 소프트 알론소헐크 하드스타트,나머지 전부 미듐,1,1.0,물탕대런저우 소프트 알론소헐크 하드스타트 나머지 전부 미듐,물탕대런저우 소프트 알론소헐크 하드스타트 나머지 전부 미듐,0.2749696373939514
2024-03-24 13:01:05,극단적인 선택 ㅋㅋㅋ,,1,1.0,극단적인 선택 ㅋㅋㅋ ,극단적인 선택 ㅋㅋㅋ,0.7205979824066162
2024-03-24 13:01:22,대부분 미하하 쓰겠네,ㅇㅇ,1,1.0,대부분 미하하 쓰겠네 ㅇㅇ,대부분 미하하 쓰겠네 ㅇㅇ,0.3482038378715515
2024-03-24 13:01:36,소프트를 쓰노,,1,1.0,소프트를 쓰노 ,소프트를 쓰노,0.23766684532165527
2024-03-24 13:01:44,뭐야 2시 아니었냐?,좆될뻔,1,1.0,뭐야 2시 아니었냐? 좆될뻔,뭐야 2시 아니었냐? 좆될뻔,0.6717848181724548
2024-03-24 13:02:21,풍경 좋노 ㄹㅇ,함가보고싶네,2,2.0,풍경 좋노 ㄹㅇ 함가보고싶네,풍경 좋노 ㄹㅇ 함가보고싶네,0.06505921483039856
2024-03-24 13:02:30,저건 또 언제적 사진이노ㅋㅋㅋㅋㅋㅋ,,2,2.0,저건 또 언제적 사진이노ㅋㅋㅋㅋㅋㅋ ,저건 또 언제적 사진이노ㅋㅋㅋㅋㅋㅋ,0.7519504427909851
2024-03-24 13:02:34,이게 행복이지 컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅋㅋㅋ
- dc official App",2,2.0,"이게 행복이지 컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ
- dc official App",이게 행복이지 컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ - dc official App,0.4833083152770996
2024-03-24 13:02:42,머야 랜도 왜 p3야,체코 어디감,2,2.0,머야 랜도 왜 p3야 체코 어디감,머야 랜도 왜 p3야 체코 어디감,0.28513166308403015
2024-03-24 13:02:42,해밀턴 기도 메타 시작한거 보니까 페라리 딱인거 같기도,ㄹㅇㅋㅋ,2,2.0,해밀턴 기도 메타 시작한거 보니까 페라리 딱인거 같기도 ㄹㅇㅋㅋ,해밀턴 기도 메타 시작한거 보니까 페라리 딱인거 같기도 ㄹㅇㅋㅋ,0.09264450520277023
